,gamma,A,beta,dv,dtheta,Pwin
210,1.5,0.512,6.4,0.017915632815725918,3.9091625579104488,0
211,1.5,0.512,6.4,0.019070680930835582,3.9864325261801383,0
212,1.5,0.512,6.4,0.029939715994857008,2.358694468840852,1
213,1.5,0.512,6.4,0.02217167434162251,3.505685958988977,0
214,1.5,0.512,6.4,0.02038924216434082,3.876849511357122,1
215,1.5,0.512,6.4,0.01860195068338466,3.5041645999418876,0
216,1.5,0.512,6.4,0.022363334857273015,3.4926591273154486,1
217,1.5,0.512,6.4,0.02266276575508408,3.3614915637622715,0
218,1.5,0.512,6.4,0.02428451284731506,4.085016895311483,1
219,1.5,0.512,6.4,0.01761372731846969,3.2693036881551336,0
220,1.5,0.512,6.4,0.014300028851621988,3.2665230527365026,1
221,1.5,0.512,6.4,0.031002666986346045,3.182976347604267,1
222,1.5,0.512,6.4,0.014015419977203653,3.9366401397112156,1
223,1.5,0.512,6.4,0.011291893112760298,3.3150455959075344,1
224,1.5,0.512,6.4,0.03549307310854302,1.5160118218693555,1
225,1.5,0.512,6.4,0.01985188526466672,3.6879061524261942,1
226,1.5,0.512,6.4,0.016526657918039284,3.7977770648416964,0
227,1.5,0.512,6.4,0.005644427972282068,4.136290905598258,1
228,1.5,0.512,6.4,0.03500261317254735,1.631891160194641,1
229,1.5,0.512,6.4,0.022778339974573986,2.4561103784603233,0
230,1.5,0.512,6.4,0.015903693402489816,4.108822936498697,1
231,1.5,0.512,6.4,0.014515152278743587,4.2330047729795695,1
232,1.5,0.512,6.4,0.01761259771985854,3.668313629587331,1
233,1.5,0.512,6.4,0.027329493318011183,3.1425922313039507,1
234,1.5,0.512,6.4,0.026094088058822212,2.7770918265546243,0
235,1.5,0.512,6.4,0.002763245397911257,5.752870914910744,1
236,1.5,0.512,6.4,0.013085087539533719,3.3358835204401913,0
237,1.5,0.512,6.4,0.024930364856359383,2.8796047188897376,1
238,1.5,0.512,6.4,0.020409507295883395,3.743506137380635,0
239,1.5,0.512,6.4,0.019857351382961463,3.3581002250532634,0
240,1.5,0.512,6.4,0.027851721122109957,2.405583315939168,1
241,1.5,0.512,6.4,0.02833761393181905,2.665781399885887,1
242,1.5,0.512,6.4,0.023155327386012114,2.8616998865142023,1
243,1.5,0.512,6.4,0.01521877500035937,3.8675914762570045,1
244,1.5,0.512,6.4,0.024315201134406855,3.3135898610329093,1
245,1.5,0.512,6.4,0.027260214411930356,2.458464511500381,1
246,1.5,0.512,6.4,0.01750306338439525,3.605926015074104,0
247,1.5,0.512,6.4,0.020699527233960097,3.312360005804237,1
248,1.5,0.512,6.4,0.030497971054601725,2.7253207146461875,0
249,1.5,0.512,6.4,0.007774039301044672,4.54461426176033,0
250,1.5,0.512,6.4,0.01738949884966179,4.191988260910961,1
251,1.5,0.512,6.4,0.01995300789975249,3.7335043211203924,1
252,1.5,0.512,6.4,0.02401610178237612,3.9581643183032895,1
253,1.5,0.512,6.4,0.028636445419911116,2.989379759132433,0
254,1.5,0.512,6.4,0.03168566832373118,2.3955684957001324,1
255,1.5,0.512,6.4,0.022635440701215065,2.538560452881569,1
256,1.5,0.512,6.4,0.008789411873245057,5.62065101022651,0
257,1.5,0.512,6.4,0.020164420300946756,3.1091624117447765,1
258,1.5,0.512,6.4,0.03195114968566895,2.8508516594395275,1
259,1.5,0.512,6.4,0.014508659970342397,4.17418351314565,1
260,1.5,0.512,6.4,0.021253909771732582,3.640229619167556,1
261,1.5,0.512,6.4,0.028903537833841697,1.8181131419364647,1
262,1.5,0.512,6.4,0.021288915633108668,3.087853862583117,1
263,1.5,0.512,6.4,0.029379660479705028,2.7248655245115003,1
264,1.5,0.512,6.4,0.019165389500241298,3.706252343792457,1
265,1.5,0.512,6.4,0.029458910414763173,2.0181395668951296,1
266,1.5,0.512,6.4,0.025063053106403055,3.354959662642031,0
267,1.5,0.512,6.4,0.026177049209773123,3.0765526246622272,1
268,1.5,0.512,6.4,0.03267645924224541,1.2804042474391224,0
269,1.5,0.512,6.4,0.031052394716726633,1.8455280126574252,1
270,1.5,0.512,6.4,0.032341851265339866,0.965251832606441,0
271,1.5,0.512,6.4,0.02514586800605889,2.9024553185179514,1
272,1.5,0.512,6.4,0.02148983801590279,3.517078984404023,0
273,1.5,0.512,6.4,0.03027155531950143,1.7554744723592108,0
274,1.5,0.512,6.4,0.018037256252201844,3.3354266113488364,1
275,1.5,0.512,6.4,0.031307484002251945,2.946096209362935,1
276,1.5,0.512,6.4,0.020639435171127596,4.042216563990181,1
277,1.5,0.512,6.4,0.018412171763043356,3.7245875623324736,1
278,1.5,0.512,6.4,0.012191854688493098,3.5471963363450385,1
279,1.5,0.512,6.4,0.029154564373617242,2.0111113521836046,1
280,1.5,0.512,6.4,0.030755684271474876,2.258944040568096,1
281,1.5,0.512,6.4,0.025193443592736148,2.6996168584559115,1
282,1.5,0.512,6.4,0.03141536460171929,2.135765700431321,1
283,1.5,0.512,6.4,0.010853594229279256,4.358961372645766,1
284,1.5,0.512,6.4,0.012862003198497896,4.072677413469634,1
285,1.5,0.512,6.4,0.009242145127469237,3.843630625101028,0
286,1.5,0.512,6.4,0.016829984428075873,3.871774054682433,1
287,1.5,0.512,6.4,0.033644185973941115,2.4000981058219537,1
288,1.2,0.6080000000000001,5.2,0.0026833924299760337,-12.307144331097035,0
289,1.2,0.6080000000000001,5.2,-0.00102227880241465,-11.742229714250342,1
290,1.2,0.6080000000000001,5.2,0.0032051035883443324,-12.942751703176228,0
291,1.2,0.6080000000000001,5.2,0.006814624520378648,-12.657337528486195,0
292,1.2,0.6080000000000001,5.2,0.0007795458101251818,-12.36429501304989,0
293,1.2,0.6080000000000001,5.2,0.001349623161035013,-12.362393971238099,1
294,1.2,0.6080000000000001,5.2,-0.00110027237925589,-12.303679497132144,1
295,1.2,0.6080000000000001,5.2,0.002358987923353456,-12.577170830655746,1
296,1.2,0.6080000000000001,5.2,0.01057336774710499,-13.895339324883821,1
297,1.2,0.6080000000000001,5.2,0.0019539676455350985,-12.959332740643958,1
298,1.2,0.6080000000000001,5.2,0.0065501979317642844,-12.176684659207133,0
299,1.2,0.6080000000000001,5.2,0.013945819476423926,-13.412057856546149,0
300,1.2,0.6080000000000001,5.2,0.015091156701531244,-12.838551544612848,1
301,1.2,0.6080000000000001,5.2,0.0022455403099957694,-11.765288610170984,1
302,1.2,0.6080000000000001,5.2,0.006064693688114964,-12.243069787692093,1
303,1.2,0.6080000000000001,5.2,0.007124087576955818,-12.141782325353333,0
304,1.2,0.6080000000000001,5.2,0.009344085537873692,-12.387841176687488,0
305,1.2,0.6080000000000001,5.2,0.005367598059097367,-12.008244766204498,1
306,1.2,0.6080000000000001,5.2,0.01047736987996678,-13.088345178224188,1
307,1.2,0.6080000000000001,5.2,-0.0024722862886637498,-11.436091427099939,1
308,1.2,0.6080000000000001,5.2,0.013857656580735733,-13.639153973657159,0
309,1.2,0.6080000000000001,5.2,0.004364905724148299,-13.2512980409726,1
310,1.2,0.6080000000000001,5.2,0.002742583420819067,-11.899342907194644,1
311,1.2,0.6080000000000001,5.2,0.010947434837877967,-12.739055399663592,0
312,1.2,0.6080000000000001,5.2,0.022625768835773247,-14.532885465396781,1
313,1.2,0.6080000000000001,5.2,0.008071948109626859,-12.843624102853163,0
314,1.2,0.6080000000000001,5.2,0.01167790086377829,-12.654464460789264,1
315,1.2,0.6080000000000001,5.2,0.006662633719177552,-12.229081298194032,1
316,1.2,0.6080000000000001,5.2,0.004673110991673807,-12.195748422137555,1
317,1.2,0.6080000000000001,5.2,0.01809603165693291,-13.296430475641628,1
318,1.2,0.6080000000000001,5.2,0.021648404182813524,-15.046179782701898,0
319,1.2,0.6080000000000001,5.2,0.0031597267190961176,-12.110464060276762,0
320,1.2,0.6080000000000001,5.2,0.016082698727808875,-14.026097478812467,1
321,1.2,0.6080000000000001,5.2,0.004461344467602574,-12.180822428960646,0
322,1.2,0.6080000000000001,5.2,-0.007228531785717307,-12.013026627812863,0
323,1.2,0.6080000000000001,5.2,0.01556930221232336,-13.139354730572485,1
324,1.2,0.6080000000000001,5.2,0.006493561108867674,-12.236207369653599,1
325,1.2,0.6080000000000001,5.2,0.011526337194493363,-12.542743988211448,1
326,1.2,0.6080000000000001,5.2,-0.0055666938620179685,-12.525500573495655,0
327,1.2,0.6080000000000001,5.2,0.007613494664374165,-13.094574811034654,1
328,1.2,0.6080000000000001,5.2,0.008299998392363589,-12.799433488499773,0
329,1.2,0.6080000000000001,5.2,0.0047470062353325015,-12.27463515971683,0
330,1.2,0.6080000000000001,5.2,0.014822700290274049,-13.256320060785853,1
331,1.2,0.6080000000000001,5.2,0.00028022381258940854,-11.869314627896543,1
332,1.2,0.6080000000000001,5.2,0.012417159619456719,-13.162515446572293,1
333,1.2,0.6080000000000001,5.2,0.006796684959076232,-13.196767622280191,0
334,1.2,0.6080000000000001,5.2,0.00440196734753015,-12.79300958394007,1
335,1.2,0.6080000000000001,5.2,0.005440076010127193,-12.076353517310658,1
336,1.2,0.6080000000000001,5.2,0.008509567094079129,-13.102033092866883,0
337,1.2,0.6080000000000001,5.2,0.012980546167789125,-13.69806259334166,0
338,1.2,0.6080000000000001,5.2,0.00650301248214602,-12.425187932936815,1
339,1.2,0.6080000000000001,5.2,-0.0019025424289707549,-12.116933338224456,1
340,1.2,0.6080000000000001,5.2,0.009386006397252178,-12.490568444782113,0
341,1.2,0.6080000000000001,5.2,0.006116055887403327,-12.315498697361875,1
342,1.2,0.6080000000000001,5.2,0.004847060250607493,-12.175800526607297,1
343,1.2,0.6080000000000001,5.2,0.0017713955749499577,-11.70301183672855,1
344,1.2,0.6080000000000001,5.2,0.002360735226612648,-12.038970583439927,1
345,1.2,0.6080000000000001,5.2,-0.004763057463401388,-11.740737072170042,1
346,1.2,0.6080000000000001,5.2,0.005125476606584578,-12.435545414496119,1
347,1.2,0.6080000000000001,5.2,0.010589396527843659,-12.344397996914154,0
348,1.2,0.6080000000000001,5.2,0.017702718825576363,-14.228885636612915,0
349,1.2,0.6080000000000001,5.2,0.015052200355281126,-13.900249547770741,1
350,1.2,0.6080000000000001,5.2,0.010218969670731742,-12.861789210868807,0
351,1.2,0.6080000000000001,5.2,0.002723230214407929,-11.667244083732825,1
352,1.2,0.6080000000000001,5.2,0.009543183892319618,-12.717824403872804,1
353,1.2,0.6080000000000001,5.2,-0.007367540934366729,-11.284895078995461,1
354,1.2,0.6080000000000001,5.2,0.002109378133542228,-12.339366942443334,0
355,1.2,0.6080000000000001,5.2,0.009459420701307064,-13.276397534485447,0
356,1.2,0.6080000000000001,5.2,0.002038582705912756,-11.936264244760594,1
357,1.2,0.6080000000000001,5.2,0.007319620307402408,-12.571732958265834,0
358,1.2,0.6080000000000001,5.2,-0.0009930507722899495,-12.219970618197735,1
359,1.2,0.6080000000000001,5.2,0.01286219650989287,-12.896632689294655,0
360,1.2,0.6080000000000001,5.2,0.0022402160189045617,-12.702603849079246,1
361,1.2,0.6080000000000001,5.2,0.0012176966752611706,-12.302546582068466,0
362,1.2,0.6080000000000001,5.2,0.008337689426494682,-13.217078230573314,1
363,1.2,0.6080000000000001,5.2,0.020245005574839214,-14.114276473569724,1
364,1.2,0.6080000000000001,5.2,0.008164517396959087,-12.542355633271974,0
365,1.2,0.6080000000000001,5.2,0.009715044005845719,-13.17706558321818,1
366,1.2,0.6080000000000001,5.2,-0.004822856301387957,-11.434720645490934,0
367,1.2,0.6080000000000001,5.2,0.001293073053930116,-11.466545584699652,0
368,1.2,0.6080000000000001,5.2,0.001656116949508818,-11.802241824140232,0
369,1.2,0.6080000000000001,5.2,0.008066816190135717,-13.433724181402887,0
370,1.2,0.6080000000000001,5.2,0.0011782010476987237,-12.063345878928367,1
371,1.2,0.6080000000000001,5.2,-0.004970752946537704,-11.435198246158329,1
372,1.2,0.6080000000000001,5.2,0.013707716618730215,-13.312361274972162,0
373,1.2,0.6080000000000001,5.2,0.011521427439951631,-13.142109739960226,1
374,1.2,0.6080000000000001,5.2,0.010094628944773781,-13.478964380928453,0
375,1.2,0.6080000000000001,5.2,0.006624600181387746,-12.661304497420517,1
