,gamma,A,beta,dv,dtheta,Pwin
161,1.35,0.6080000000000001,5.2,0.004535004161565076,-5.513522091316801,1
162,1.35,0.6080000000000001,5.2,-0.006371554201628993,-4.664278910830575,1
163,1.35,0.6080000000000001,5.2,0.004354344774626456,-6.42651086197538,0
164,1.35,0.6080000000000001,5.2,0.0012025231407652992,-5.68787663153212,0
165,1.35,0.6080000000000001,5.2,0.022655956768904084,-7.423558093375661,1
166,1.35,0.6080000000000001,5.2,0.006988739309185449,-6.107858839504992,1
167,1.35,0.6080000000000001,5.2,0.027317066215917618,-7.549181526206262,1
168,1.35,0.6080000000000001,5.2,0.010602749521638255,-6.12106222579655,0
169,1.35,0.6080000000000001,5.2,0.01062745407750082,-6.264404857488756,1
170,1.35,0.6080000000000001,5.2,0.006628966814006376,-5.859563245088523,1
171,1.35,0.6080000000000001,5.2,0.00920172667221339,-5.495351643280642,0
172,1.35,0.6080000000000001,5.2,0.009471439940986842,-6.446194549217566,1
173,1.35,0.6080000000000001,5.2,0.009449654124580403,-6.018976849569498,1
174,1.35,0.6080000000000001,5.2,0.0067749320112613365,-5.595333069240361,0
175,1.35,0.6080000000000001,5.2,0.004731896641286204,-4.958689495567697,1
176,1.35,0.6080000000000001,5.2,0.014535194324620304,-7.729824808636387,1
177,1.35,0.6080000000000001,5.2,0.008690569701737566,-6.200647842358514,1
178,1.35,0.6080000000000001,5.2,0.02145325828445302,-8.401205823206517,1
179,1.35,0.6080000000000001,5.2,0.004885628603273157,-5.595403718093884,0
180,1.35,0.6080000000000001,5.2,0.017201045476579552,-6.869446829431062,1
181,1.35,0.6080000000000001,5.2,0.008395567066900533,-5.7583769909635905,0
182,1.35,0.6080000000000001,5.2,0.006201511106219221,-5.659652852101608,1
183,1.35,0.6080000000000001,5.2,0.0007017197300615008,-4.885855526786969,0
184,1.35,0.6080000000000001,5.2,0.006538611186280963,-5.905701325960315,0
185,1.35,0.6080000000000001,5.2,0.01857934439643985,-7.777789133241228,1
186,1.35,0.6080000000000001,5.2,0.008391344542709955,-6.5815155004776855,1
187,1.35,0.6080000000000001,5.2,0.0198937698851267,-7.682957158894375,1
188,1.35,0.6080000000000001,5.2,0.0058947662450358485,-5.7688350038050515,0
189,1.35,0.6080000000000001,5.2,0.007096220604486919,-5.4011469959555924,1
190,1.35,0.6080000000000001,5.2,0.01736552904855987,-7.042999753177369,0
191,1.35,0.6080000000000001,5.2,0.005536094432688904,-6.162896069076808,1
192,1.5,0.512,6.4,0.02470588772922558,3.257967434065378,1
193,1.5,0.512,6.4,0.04078195256284617,1.1359382291798283,0
194,1.5,0.512,6.4,0.019449817308464762,3.566369047457158,1
195,1.5,0.512,6.4,0.01661252098212604,3.9651452867626062,1
196,1.5,0.512,6.4,0.025762458818292033,2.7579088266575127,0
197,1.5,0.512,6.4,0.028883060830411034,3.1257459576958837,0
198,1.5,0.512,6.4,0.019218071691196492,3.639109259618806,0
199,1.5,0.512,6.4,0.03717398954853199,2.427227432202443,0
200,1.5,0.512,6.4,0.024610133831497377,2.9132589902301618,1
201,1.5,0.512,6.4,0.022956622628731327,3.325454006052709,0
202,1.5,0.512,6.4,0.016677714114889636,3.0970258380680065,0
203,1.5,0.512,6.4,0.023138442459214897,2.6112293247397957,1
204,1.5,0.512,6.4,0.025518305097166044,3.4350011988435796,0
205,1.5,0.512,6.4,0.02544157428308405,3.4719962861592535,1
206,1.5,0.512,6.4,0.022422600301468615,3.2514857988767005,0
207,1.5,0.512,6.4,0.02290262565569437,3.0084487146844907,1
208,1.5,0.512,6.4,0.02593186338064113,3.2781542042451264,0
209,1.5,0.512,6.4,0.029583390693614958,2.629765490174435,1
210,1.5,0.512,6.4,0.014997668314077589,4.761499207470379,0
211,1.5,0.512,6.4,0.02031331164332284,4.018866779423945,0
212,1.5,0.512,6.4,0.019968305084409138,3.9834364365513153,0
213,1.5,0.512,6.4,0.03127693135646756,2.857093761585517,1
214,1.5,0.512,6.4,0.01057225617867888,4.753476566787015,1
215,1.5,0.512,6.4,0.03149903399274351,1.8908861770641892,0
216,1.5,0.512,6.4,0.023829976644226536,3.2256350200900243,0
217,1.5,0.512,6.4,0.024282970790881514,3.758709648392525,0
218,1.5,0.512,6.4,0.029475512174190116,2.462013443644537,0
219,1.5,0.512,6.4,0.03065856538417644,2.39783615106181,1
220,1.5,0.512,6.4,0.031005007518263794,2.6912716900389455,0
221,1.5,0.512,6.4,0.026670333443934713,3.1050504898987583,0
222,1.5,0.512,6.4,0.03273567784277126,2.5305345429018047,0
223,1.5,0.512,6.4,0.023711394028892607,3.325301722760045,0
224,1.5,0.512,6.4,0.021916622150568305,3.631434397203364,0
225,1.5,0.512,6.4,0.02333267128916494,3.2651917577675533,1
226,1.5,0.512,6.4,0.01885147758295405,3.706872500785721,0
227,1.5,0.512,6.4,0.027899650233083245,3.2475120220055516,0
228,1.5,0.512,6.4,0.04602075252672208,1.4309207575425376,1
229,1.5,0.512,6.4,0.017111556805230077,3.874583241332388,1
230,1.5,0.512,6.4,0.030242380413849718,2.5203781518583668,0
231,1.5,0.512,6.4,0.025561366819958548,3.079022863359455,0
232,1.5,0.512,6.4,0.015539883790878228,3.9991709201131016,0
233,1.5,0.512,6.4,0.029437008957999278,2.998049929324253,0
234,1.5,0.512,6.4,0.026216331750104765,2.8070378594842538,0
235,1.5,0.512,6.4,0.025448730852556167,2.742713052926945,0
236,1.5,0.512,6.4,0.019486628587399524,3.6448889468712764,1
237,1.5,0.512,6.4,0.023563999661569912,3.5083423273771217,0
238,1.5,0.512,6.4,0.014492982182482045,3.910209616066396,0
239,1.5,0.512,6.4,0.03950526104341423,1.6547046381208474,1
240,1.5,0.512,6.4,0.02242493525311745,3.460605587231697,1
241,1.5,0.512,6.4,0.0270544535803611,2.664269935157691,0
242,1.5,0.512,6.4,0.016195850464605893,3.623796993816299,0
243,1.5,0.512,6.4,0.027342941087204947,2.6518279672135634,0
244,1.5,0.512,6.4,0.030940474274723295,2.39147788891529,1
245,1.5,0.512,6.4,0.018207551968155683,4.502226270157408,0
246,1.5,0.512,6.4,0.020269963863781548,2.540984460851334,0
247,1.5,0.512,6.4,0.022876216684196565,2.801701090393223,1
248,1.5,0.512,6.4,0.02009334646208527,3.8301518713622187,0
249,1.5,0.512,6.4,0.02484490683292942,3.2731408232647823,1
250,1.5,0.512,6.4,0.02735877381089355,2.917420853864897,0
251,1.5,0.512,6.4,0.01541117681241494,4.584511424442525,0
252,1.5,0.512,6.4,0.02588160658686592,3.2600053787124637,0
253,1.5,0.512,6.4,0.018361050251971933,3.5898519282202557,1
254,1.5,0.512,6.4,0.041010918788579515,1.3664355425359815,0
255,1.5,0.512,6.4,0.011736622679027336,4.587143256343381,1
256,1.5,0.512,6.4,0.020583787957719646,3.2153688000006753,0
257,1.5,0.512,6.4,0.02329014667693219,3.347973417773943,0
258,1.5,0.512,6.4,0.024405663689028467,2.946182174088534,1
259,1.5,0.512,6.4,0.026391085560502903,2.9119001949087533,0
260,1.5,0.512,6.4,0.022369341460196562,3.3685808072748813,0
261,1.5,0.512,6.4,0.023425909490489283,3.700706383272447,0
262,1.5,0.512,6.4,0.017710135150237893,3.606159551674807,1
263,1.5,0.512,6.4,0.02730018771015688,2.258243410341791,0
264,1.5,0.512,6.4,0.02497813106938576,3.217083910908073,0
265,1.5,0.512,6.4,0.032682646412207916,2.205769171764274,1
266,1.5,0.512,6.4,0.01894635684927734,3.4521364326498087,0
267,1.5,0.512,6.4,0.031178574884771548,2.607692551078472,1
268,1.5,0.512,6.4,0.03390194091095883,2.0520716799431398,1
269,1.5,0.512,6.4,0.03375425986094702,2.815802153979348,1
270,1.5,0.512,6.4,0.023049835732980556,3.6712000885114975,1
271,1.5,0.512,6.4,0.02735002827219629,3.0804380552150974,1
272,1.5,0.512,6.4,0.024010423034595996,3.055973362285343,1
273,1.5,0.512,6.4,0.0239532697547368,3.123260838163631,1
274,1.5,0.512,6.4,0.027732000008641344,3.616330400973183,1
275,1.5,0.512,6.4,0.02188215933662563,3.4599832761726645,0
276,1.5,0.512,6.4,0.005229829634136929,5.2910462406735945,0
277,1.5,0.512,6.4,0.018376220500685686,3.159679899905285,1
278,1.5,0.512,6.4,0.01857701808650805,4.392969564665577,1
279,1.5,0.512,6.4,0.01823400511240511,3.573617384520574,0
280,1.5,0.512,6.4,0.020404408370611,3.7823020820156046,1
281,1.5,0.512,6.4,0.033530472432201586,1.736150534474902,0
282,1.5,0.512,6.4,0.024107718972048192,3.0335134778356547,1
283,1.5,0.512,6.4,0.023230492639896516,3.297321125032269,1
284,1.5,0.512,6.4,0.01890933545008819,3.766337135301143,1
285,1.5,0.512,6.4,0.02241136637954186,3.7022739193824066,1
286,1.5,0.512,6.4,0.037785043996531764,1.2719831606857355,0
287,1.5,0.512,6.4,0.03034618186430968,2.434614039826542,1
288,1.2,0.6080000000000001,5.2,0.002364139119477887,-12.252520492735584,0
289,1.2,0.6080000000000001,5.2,0.007004890126243113,-12.80337410046409,1
290,1.2,0.6080000000000001,5.2,0.006981804528934765,-12.807835127876828,0
291,1.2,0.6080000000000001,5.2,0.0197399679844186,-13.455584122530304,1
292,1.2,0.6080000000000001,5.2,-0.0008337064581475373,-11.990808283928672,1
293,1.2,0.6080000000000001,5.2,0.009151212257929087,-13.024613987934735,0
294,1.2,0.6080000000000001,5.2,0.00780415338525528,-13.072650766861813,1
295,1.2,0.6080000000000001,5.2,0.009620659316846691,-13.136636404517468,1
296,1.2,0.6080000000000001,5.2,0.008603991580358128,-13.294583913513428,0
297,1.2,0.6080000000000001,5.2,0.024768596194361836,-14.80061375319886,1
298,1.2,0.6080000000000001,5.2,0.009619016846786066,-13.102728217223145,1
299,1.2,0.6080000000000001,5.2,0.006146841284585786,-12.968288907991997,1
300,1.2,0.6080000000000001,5.2,0.02124359885119223,-14.582426594301204,1
301,1.2,0.6080000000000001,5.2,0.014337361824600742,-13.421407367601645,1
302,1.2,0.6080000000000001,5.2,-0.0007740106169944472,-11.433982866071972,1
303,1.2,0.6080000000000001,5.2,0.015888736193307218,-13.651932186164906,1
304,1.2,0.6080000000000001,5.2,0.011889831353686903,-12.913296135296548,1
305,1.2,0.6080000000000001,5.2,0.007789186139399551,-12.294359616512487,1
306,1.2,0.6080000000000001,5.2,0.005021343591656624,-12.139991003922354,1
307,1.2,0.6080000000000001,5.2,0.0068993475826480966,-12.110609095116466,1
308,1.2,0.6080000000000001,5.2,0.022094615365396475,-14.213429306512971,0
309,1.2,0.6080000000000001,5.2,0.011699516424586637,-12.738816959858745,1
310,1.2,0.6080000000000001,5.2,0.0015215198273455244,-12.092718777357867,0
311,1.2,0.6080000000000001,5.2,0.012847315743882037,-12.826165392388376,1
312,1.2,0.6080000000000001,5.2,0.006716799380654476,-12.363957460955824,1
